[08/Apr/2022 03:01:20] INFO [django.utils.autoreload:643] Watching for file changes with StatReloader
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:321] Waiting for apps ready_event.
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:333] Apps ready_event triggered. Sending autoreload_started signal.
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:287] Watching dir /Users/huntaj/dev/polydoc/tailwindapp/templates with glob **/*.
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:287] Watching dir /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/tailwind/templates with glob **/*.
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:287] Watching dir /Users/huntaj/dev/polydoc/app/templates with glob **/*.
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:287] Watching dir /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/compressor/templates with glob **/*.
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:287] Watching dir /Users/huntaj/dev/polydoc/locale with glob **/*.mo.
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:287] Watching dir /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/django_browser_reload/locale with glob **/*.mo.
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:287] Watching dir /Users/huntaj/dev/polydoc/app/locale with glob **/*.mo.
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:287] Watching dir /Users/huntaj/dev/polydoc/tailwindapp/locale with glob **/*.mo.
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:287] Watching dir /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/tailwind/locale with glob **/*.mo.
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:287] Watching dir /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/compressor/locale with glob **/*.mo.
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:287] Watching dir /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/django/contrib/admin/static with glob **/*.
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:287] Watching dir /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/django_browser_reload/static with glob **/*.
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:287] Watching dir /Users/huntaj/dev/polydoc/app/static with glob **/*.
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:287] Watching dir /Users/huntaj/dev/polydoc/tailwindapp/static with glob **/*.
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/django/utils/crypto.py first seen with mtime 1649369061.2800412
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/lib-dynload/_sha3.cpython-38-darwin.so first seen with mtime 1613743143.0
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/django/db/migrations/operations/__init__.py first seen with mtime 1649369061.1744525
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/urllib3/__init__.py first seen with mtime 1649369080.607098
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/oauthlib/oauth2/rfc6749/__init__.py first seen with mtime 1649369081.8710585
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/encodings/aliases.py first seen with mtime 1613742518.0
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/google/api_core/version.py first seen with mtime 1649369080.9224777
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Users/huntaj/dev/polydoc/venv/lib/python3.8/site-packages/oauthlib/oauth2/rfc6749/clients/backend_application.py first seen with mtime 1649369081.8760595
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/fractions.py first seen with mtime 1613742516.0
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/email/iterators.py first seen with mtime 1613742518.0
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/email/__init__.py first seen with mtime 1613742518.0
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/wsgiref/simple_server.py first seen with mtime 1613742518.0
[08/Apr/2022 03:01:20] DEBUG [django.utils.autoreload:385] File /Library/Frameworks/Python.framework/Versions/3.8/lib/python3.8/zipfile.py first seen with mtime 1613742516.0
